X,Y,Cell Type,0,1,Cell_Num_Old
-5.157268918674019,-5.020790612853529,0,1,0,0
-4.315962753307756,-4.907715844723512,1,0,1,1
-3.2695759294449465,-4.88334723031796,0,1,0,2
-2.056698332406487,-4.867132402358712,1,0,1,3
-1.0889226173797297,-5.061004119449782,0,1,0,4
-0.34403317517546306,-5.2084749159262005,1,0,1,5
0.48309128730660156,-5.098431907898594,0,1,0,6
1.3551241072499929,-5.047782863554264,1,0,1,7
2.0189038903091543,-5.0880389818318505,0,1,0,8
2.930085499681553,-4.948065757095026,1,0,1,9
4.173225066864324,-4.541532673362293,0,1,0,10
5.07730262120916,-4.255501029813576,1,0,1,11
-5.254068361166809,-4.144693157958237,1,0,1,12
-4.4823954419992775,-4.186424853782396,0,1,0,13
-3.345362191492161,-4.179391826216795,1,0,1,14
-2.2531651804517066,-4.2245366292436355,0,1,0,15
-1.2982212787344718,-4.3409594726231004,1,0,1,16
-0.2818918091820626,-4.222915350376519,0,1,0,17
0.5437581374460283,-4.08473989159954,1,0,1,18
1.2030580987342088,-4.007760225711162,0,1,0,19
1.8538620275302131,-3.9072217401961042,1,0,1,20
2.95930098053795,-3.8237085234899624,0,1,0,21
4.0327440586096355,-3.712950014826321,1,0,1,22
4.899588753780451,-3.7624451549947295,0,1,0,23
-5.184388232945469,-3.0615149688925416,0,1,0,24
-4.405236638302334,-3.14202479132811,1,0,1,25
-3.2597269087780263,-3.349827519727702,0,1,0,26
-2.291741185745704,-3.422206976453378,1,0,1,27
-1.4148316440390367,-3.2164621824384114,0,1,0,28
-0.423026342254901,-2.9049332063184368,1,0,1,29
0.5783538005373314,-2.9671547114598673,0,1,0,30
1.3308632377464242,-3.0031739475288552,1,0,1,31
1.9060369075325205,-2.8105335133404683,0,1,0,32
2.9178455286449534,-2.991917482430879,1,0,1,33
4.025293296779813,-3.2124424969664513,0,1,0,34
4.833718689020278,-3.5274810238553247,1,0,1,35
-5.340014501304924,-2.287034189586251,1,0,1,36
-4.3149969236950225,-2.165491045140723,0,1,0,37
-3.246033030018319,-2.284359630539189,1,0,1,38
-2.3446145505188722,-2.3284815081063996,0,1,0,39
