X,Y,Cell Type,0,1,Cell_Num_Old
-5.0,-5.0,0,1,0,0
-4.090909090909091,-5.0,1,0,1,1
-3.1818181818181817,-5.0,0,1,0,2
-2.272727272727273,-5.0,1,0,1,3
-1.3636363636363633,-5.0,0,1,0,4
-0.45454545454545503,-5.0,1,0,1,5
0.45454545454545414,-5.0,0,1,0,6
1.3636363636363633,-5.0,1,0,1,7
2.2727272727272734,-5.0,0,1,0,8
3.1818181818181817,-5.0,1,0,1,9
4.09090909090909,-5.0,0,1,0,10
5.0,-5.0,1,0,1,11
-5.0,-4.090909090909091,1,0,1,12
-4.090909090909091,-4.090909090909091,0,1,0,13
-3.1818181818181817,-4.090909090909091,1,0,1,14
-2.272727272727273,-4.090909090909091,0,1,0,15
-1.3636363636363633,-4.090909090909091,1,0,1,16
-0.45454545454545503,-4.090909090909091,0,1,0,17
0.45454545454545414,-4.090909090909091,1,0,1,18
1.3636363636363633,-4.090909090909091,0,1,0,19
2.2727272727272734,-4.090909090909091,1,0,1,20
3.1818181818181817,-4.090909090909091,0,1,0,21
4.09090909090909,-4.090909090909091,1,0,1,22
5.0,-4.090909090909091,0,1,0,23
-5.0,-3.1818181818181817,0,1,0,24
-4.090909090909091,-3.1818181818181817,1,0,1,25
-3.1818181818181817,-3.1818181818181817,0,1,0,26
-2.272727272727273,-3.1818181818181817,1,0,1,27
-1.3636363636363633,-3.1818181818181817,0,1,0,28
-0.45454545454545503,-3.1818181818181817,1,0,1,29
0.45454545454545414,-3.1818181818181817,0,1,0,30
1.3636363636363633,-3.1818181818181817,1,0,1,31
2.2727272727272734,-3.1818181818181817,0,1,0,32
3.1818181818181817,-3.1818181818181817,1,0,1,33
4.09090909090909,-3.1818181818181817,0,1,0,34
5.0,-3.1818181818181817,1,0,1,35
-5.0,-2.272727272727273,1,0,1,36
-4.090909090909091,-2.272727272727273,0,1,0,37
-3.1818181818181817,-2.272727272727273,1,0,1,38
-2.272727272727273,-2.272727272727273,0,1,0,39
-1.3636363636363633,-2.272727272727273,1,0,1,40
-0.45454545454545503,-2.272727272727273,0,1,0,41
0.45454545454545414,-2.272727272727273,1,0,1,42
1.3636363636363633,-2.272727272727273,0,1,0,43
2.2727272727272734,-2.272727272727273,1,0,1,44
3.1818181818181817,-2.272727272727273,0,1,0,45
4.09090909090909,-2.272727272727273,1,0,1,46
5.0,-2.272727272727273,0,1,0,47
-5.0,-1.3636363636363633,0,1,0,48
