,X,Y,cell_type,c1,c2,c3,quadrant,cell_idx
0,0.7873532101700367,7.380054647250467,c2,4.511528177262999,91.76443605642527,3.7240357663117436,top_left,0
1,2.3527090596644347,7.047892721506209,c2,8.273020563745119,85.3434047117364,6.383574724518487,top_left,1
2,3.7333332137199164,7.127672657728007,c1,91.93376140071406,4.289844797582724,3.7763938017032115,top_left,2
3,4.296781389842785,7.080044664706346,c2,4.105281024300435,89.44148683437624,6.45323214132333,top_left,3
4,6.047750502248368,6.994952340957614,c1,92.21351306730863,5.337426885278459,2.449060047412914,top_left,4
5,0.8595644755049017,7.531597305264446,c2,6.034652916379942,89.74604943602141,4.2192976475986566,top_left,5
6,1.3112379142346122,7.6027048726220725,c1,91.89216327728367,4.209868201774288,3.8979685209420483,top_left,6
7,1.9022511109075704,7.5487866151401555,c1,87.68354559825269,5.813737994608329,6.502716407138983,top_left,7
8,2.410838978095615,7.681911701714151,c2,2.6492897843580807,91.31670317754765,6.034007038094266,top_left,8
9,3.887208585240098,7.5615985851836856,c1,94.01481961821122,2.5069393250965373,3.478241056692249,top_left,9
10,4.0346359446716304,7.435827025361513,c1,86.29169788897953,7.6525340831495745,6.055768027870905,top_left,10
11,5.352503123098366,7.834602286836748,c2,4.8595426525432055,88.14202936729978,6.998427980157014,top_left,11
12,1.1591381385788964,8.467907727994955,c2,6.929889520294092,84.79896432581525,8.271146153890651,top_left,12
13,3.019682489685803,8.391136179728612,c2,4.996645225280155,90.46112132107234,4.542233453647509,top_left,13
14,3.7300930445400082,8.23081386775337,c2,5.3498784764320355,88.2064984166358,6.443623106932181,top_left,14
15,4.725886116004431,8.056548670409382,c1,86.84093065622919,6.750557108374744,6.4085122353960715,top_left,15
16,5.265948353375007,8.127062554456137,c1,92.17195533206718,5.147015132054871,2.6810295358779426,top_left,16
17,0.8144022867919565,9.027269459517768,c2,6.162034822377452,85.39250374000531,8.445461437617233,top_left,17
18,1.220597293139708,9.00010173840843,c2,6.848411992668519,87.0136572717348,6.137930735596677,top_left,18
19,2.624611026513435,8.901410552005268,c2,1.1794174984984394,96.98874336511687,1.831839136384691,top_left,19
20,3.259099098934213,8.641248797375688,c2,5.519149118541034,89.14803771461489,5.332813166844083,top_left,20
21,4.341969261775338,8.580870224815026,c1,87.02501724362222,6.610519950650742,6.3644628057270465,top_left,21
22,4.9776370723926755,8.76724632380726,c2,5.941027147068034,89.40499923121166,4.653973621720311,top_left,22
23,5.974424053568346,8.616376745309237,c1,95.11145022342254,3.943533230977904,0.9450165455995597,top_left,23
24,0.9489872915127578,9.266614043830655,c2,3.4988324674261584,93.83736812927485,2.6637994032990013,top_left,24
25,2.169423532816516,9.290555982157302,c2,5.845224870156711,88.99273520608861,5.162039923754666,top_left,25
26,2.5262750063872534,9.218351008122548,c2,8.346250961663527,83.31197390467496,8.34177513366151,top_left,26
27,3.4796859400904636,9.608446031850324,c2,5.225401022472071,90.43618943890588,4.338409538622047,top_left,27
28,3.917558782892605,9.171033316050105,c1,88.10898066091669,5.467882208914551,6.42313713016875,top_left,28
29,5.431447131775698,9.219531594726392,c1,91.73395484975696,3.5768227743282326,4.6892223759147935,top_left,29
30,5.8844168435449165,9.129391072868307,c1,90.87551373000571,4.82902194434548,4.295464325648814,top_left,30
31,1.6060035244147501,9.993028820336542,c1,88.6946093909315,6.159414078075173,5.145976530993315,top_left,31
