,spot_x,spot_y,cell_count,Smooth muscle cells_percentage,Fibroblast_percentage,Atrial cardiomyocytes_percentage,Cardiomyocytes_percentage,Endothelium_percentage,Epicardium_percentage,Schwan progenitors_percentage,Ventricular cardiomyocytes_percentage,Cell_Num,New_X,New_Y
0,12922.839255505101,263.83333333333337,4,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,657.51695627,-0.133918441269
1,13240.381903559395,263.83333333333337,9,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1,674.407621414,-0.263715811926
2,13557.924551613689,263.83333333333337,4,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2,692.380183058,-0.377012426248
3,13875.467199667984,263.83333333333337,4,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,3,704.671579154,-2.99744944388
4,14510.552495776572,263.83333333333337,3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,726.064386507,-19.7617822989
5,14828.095143830868,263.83333333333337,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,733.972539897,-7.20259862108
6,15145.637791885161,263.83333333333337,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6,750.045146872,-8.75471467357
7,15463.180439939455,263.83333333333337,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,766.800792203,-9.26493905966
8,10858.81204315219,447.1666666666667,7,28.57142857142857,42.857142857142854,0.0,0.0,28.57142857142857,0.0,0.0,0.0,8,536.350330517,1.62344898689
9,11176.354691206483,447.1666666666667,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,9,554.071863416,1.76943838728
10,12764.067931477955,447.1666666666667,7,57.14285714285714,14.285714285714285,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,10,648.830350217,9.28317327706
11,13081.61057953225,447.1666666666667,14,57.14285714285714,35.714285714285715,0.0,0.0,0.0,7.142857142857142,0.0,0.0,11,666.485386457,9.49591749624
12,13399.153227586543,447.1666666666667,11,54.54545454545454,27.27272727272727,0.0,0.0,0.0,18.181818181818183,0.0,0.0,12,683.736491774,9.27927426521
